Gender,Senior Citizen,Partner,Dependents,Tenure Months,Tenure Groups,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Service Count,Contract,Paperless Billing,Payment Method,Monthly Charges,Charge Category,Total Charges,Churn Value,Churn Reason
Male,No,No,No,2,0-12,Yes,No,DSL,Yes,Yes,No,No,No,No,4,Month-to-month,Yes,Mailed check,53.85,Medium,108.15,1,Competitor made better offer
Female,No,No,Yes,2,0-12,Yes,No,Fiber optic,No,No,No,No,No,No,2,Month-to-month,Yes,Electronic check,70.7,Medium,151.65,1,Moved
Female,No,No,Yes,8,0-12,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,6,Month-to-month,Yes,Electronic check,99.65,High,820.5,1,Moved
Female,No,Yes,Yes,28,25-36,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,7,Month-to-month,Yes,Electronic check,104.8,High,3046.05,1,Moved
Male,No,No,Yes,49,49-60,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,7,Month-to-month,Yes,Bank transfer (automatic),103.7,High,5036.3,1,Competitor had better devices
Female,No,Yes,No,10,0-12,Yes,No,DSL,No,No,Yes,Yes,No,No,4,Month-to-month,No,Credit card (automatic),55.2,Medium,528.35,1,Competitor offered higher download speeds
Male,Yes,No,No,1,0-12,No,No phone service,DSL,No,No,Yes,No,No,Yes,3,Month-to-month,Yes,Electronic check,39.65,Low,39.65,1,Competitor offered more data
Male,No,No,No,1,0-12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Month-to-month,No,Mailed check,20.15,Low,20.15,1,Competitor made better offer
Male,No,Yes,Yes,47,37-48,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,6,Month-to-month,Yes,Electronic check,99.35,High,4749.15,1,Competitor had better devices
Male,No,Yes,No,1,0-12,No,No phone service,DSL,No,Yes,No,No,No,No,2,Month-to-month,No,Electronic check,30.2,Low,30.2,1,Competitor had better devices
Female,No,No,No,17,13-24,Yes,No,DSL,No,No,No,No,Yes,Yes,4,Month-to-month,Yes,Mailed check,64.7,Medium,1093.1,1,Competitor offered higher download speeds
Male,No,No,Yes,5,0-12,Yes,No,Fiber optic,No,No,No,No,No,No,2,Month-to-month,Yes,Electronic check,69.7,Medium,316.9,1,Competitor offered higher download speeds
Male,No,No,Yes,34,25-36,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,7,Month-to-month,Yes,Electronic check,106.35,High,3549.25,1,Competitor offered higher download speeds
Female,No,No,Yes,11,0-12,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,6,Month-to-month,Yes,Bank transfer (automatic),97.85,High,1105.4,1,Competitor offered more data
Female,No,No,Yes,2,0-12,Yes,No,Fiber optic,No,No,No,No,Yes,No,3,Month-to-month,Yes,Electronic check,80.65,Medium,144.15,1,Competitor offered more data
Female,No,No,Yes,15,13-24,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,6,Month-to-month,Yes,Credit card (automatic),99.1,High,1426.4,1,Competitor offered more data
Female,Yes,Yes,Yes,8,0-12,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,4,Month-to-month,Yes,Credit card (automatic),80.65,Medium,633.3,1,Competitor made better offer
Male,Yes,No,Yes,18,13-24,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,5,Month-to-month,Yes,Electronic check,95.45,High,1752.55,1,Competitor made better offer
Female,No,No,Yes,9,0-12,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,5,Month-to-month,No,Electronic check,94.4,High,857.25,1,Price too high
Female,No,No,Yes,1,0-12,Yes,No,Fiber optic,No,No,No,No,Yes,No,3,Month-to-month,Yes,Electronic check,79.35,Medium,79.35,1,Product dissatisfaction
Female,No,Yes,Yes,7,0-12,Yes,No,Fiber optic,No,No,Yes,No,No,No,3,Month-to-month,Yes,Bank transfer (automatic),75.15,Medium,496.9,1,Service dissatisfaction
Female,No,No,Yes,12,0-12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,4,Month-to-month,Yes,Electronic check,78.95,Medium,927.35,1,Lack of self-service on Website
Male,No,No,No,5,0-12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Month-to-month,No,Mailed check,21.05,Low,113.85,1,Network reliability
Female,Yes,Yes,Yes,25,25-36,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,6,Month-to-month,Yes,Electronic check,98.5,High,2514.5,1,Limited range of services
Male,No,Yes,No,68,61-72,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,8,Two year,Yes,Bank transfer (automatic),110.0,High,7611.85,1,Lack of affordable download/upload speed
Male,No,Yes,Yes,55,49-60,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,6,Month-to-month,Yes,Electronic check,96.75,High,5238.9,1,Long distance charges
Female,Yes,Yes,Yes,37,37-48,Yes,Yes,Fiber optic,No,No,No,No,No,No,3,Month-to-month,Yes,Electronic check,76.5,Medium,2868.15,1,Extra data charges
Female,No,Yes,Yes,10,0-12,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,6,Month-to-month,Yes,Electronic check,100.25,High,1064.65,1,Price too high
Male,No,No,Yes,3,0-12,Yes,Yes,Fiber optic,No,No,No,No,No,No,3,Month-to-month,Yes,Electronic check,74.4,Medium,229.55,1,Product dissatisfaction
Female,Yes,No,Yes,27,25-36,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,4,Month-to-month,Yes,Electronic check,78.05,Medium,2135.5,1,Service dissatisfaction
Female,No,Yes,No,25,25-36,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,6,Month-to-month,Yes,Credit card (automatic),58.6,Medium,1502.65,1,Lack of self-service on Website
Male,No,No,No,1,0-12,No,No phone service,DSL,No,No,No,No,No,Yes,2,Month-to-month,Yes,Electronic check,35.45,Low,35.45,1,Network reliability
Male,No,No,No,2,0-12,Yes,No,DSL,No,No,No,No,No,No,2,Month-to-month,No,Electronic check,44.35,Low,81.25,1,Don't know
Female,Yes,Yes,Yes,1,0-12,Yes,No,Fiber optic,No,No,No,No,No,No,2,Month-to-month,Yes,Mailed check,70.45,Medium,70.45,1,Don't know
Female,No,No,No,8,0-12,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,6,Month-to-month,No,Electronic check,71.15,Medium,563.65,1,Don't know
Male,No,No,No,1,0-12,Yes,No,DSL,No,No,No,No,No,No,2,Month-to-month,Yes,Electronic check,45.65,Low,45.65,1,Poor expertise of online support
Male,No,No,Yes,7,0-12,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,5,Month-to-month,No,Mailed check,95.0,High,655.5,1,Poor expertise of phone support
Female,No,Yes,Yes,20,13-24,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,4,Month-to-month,No,Electronic check,82.4,Medium,1592.35,1,Price too high
Female,No,No,Yes,4,0-12,Yes,No,Fiber optic,No,No,No,No,No,No,2,Month-to-month,Yes,Bank transfer (automatic),70.9,Medium,273.0,1,Product dissatisfaction
Male,Yes,Yes,No,58,49-60,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,4,Month-to-month,Yes,Electronic check,45.3,Low,2651.2,1,Service dissatisfaction
Female,No,Yes,Yes,2,0-12,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,7,Month-to-month,Yes,Electronic check,104.4,High,242.8,1,Lack of self-service on Website
Female,No,Yes,No,53,49-60,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,5,One year,Yes,Bank transfer (automatic),94.85,High,5000.2,1,Network reliability
Female,Yes,No,Yes,15,13-24,Yes,Yes,Fiber optic,No,No,No,No,No,No,3,Month-to-month,Yes,Mailed check,74.45,Medium,1145.7,1,Limited range of services
Female,Yes,No,Yes,7,0-12,Yes,No,Fiber optic,Yes,No,No,No,No,No,3,Month-to-month,No,Bank transfer (automatic),76.45,Medium,503.6,1,Lack of affordable download/upload speed
Female,No,No,No,1,0-12,No,No phone service,DSL,No,Yes,No,No,No,No,2,Month-to-month,No,Bank transfer (automatic),29.95,Low,29.95,1,Long distance charges
Male,No,No,Yes,8,0-12,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,4,Month-to-month,No,Bank transfer (automatic),84.5,Medium,662.65,1,Extra data charges
Female,No,No,Yes,13,13-24,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,4,Month-to-month,Yes,Electronic check,79.25,Medium,1111.65,1,Price too high
Female,No,Yes,No,1,0-12,No,No phone service,DSL,No,No,No,No,No,No,1,Month-to-month,Yes,Electronic check,24.8,Low,24.8,1,Product dissatisfaction
Male,No,Yes,Yes,6,0-12,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,5,Month-to-month,Yes,Electronic check,91.0,High,531.0,1,Service dissatisfaction
Male,No,No,Yes,1,0-12,Yes,No,Fiber optic,No,No,No,No,No,Yes,3,Month-to-month,No,Electronic check,79.9,Medium,79.9,1,Lack of self-service on Website
Female,No,No,Yes,19,13-24,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,7,Month-to-month,Yes,Electronic check,106.6,High,1934.45,1,Network reliability
Male,No,No,No,2,0-12,Yes,No,DSL,No,No,No,No,No,No,2,Month-to-month,Yes,Credit card (automatic),46.0,Low,84.5,1,Don't know
Female,No,No,Yes,4,0-12,Yes,No,Fiber optic,No,No,No,No,No,No,2,Month-to-month,Yes,Electronic check,70.15,Medium,268.35,1,Don't know
Male,No,Yes,No,4,0-12,Yes,No,DSL,No,No,No,Yes,No,No,3,Month-to-month,No,Mailed check,50.05,Medium,179.35,1,Don't know
Female,No,Yes,No,1,0-12,Yes,No,DSL,No,No,No,No,Yes,No,3,Month-to-month,No,Mailed check,55.2,Medium,55.2,1,Poor expertise of online support
Male,No,No,Yes,1,0-12,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,4,Month-to-month,Yes,Mailed check,84.6,Medium,84.6,1,Poor expertise of phone support
Male,No,No,No,2,0-12,Yes,Yes,DSL,No,Yes,No,No,No,No,4,Month-to-month,Yes,Mailed check,54.4,Medium,114.1,1,Price too high
Female,Yes,No,Yes,11,0-12,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,5,Month-to-month,Yes,Electronic check,95.0,High,1120.3,1,Product dissatisfaction
Male,Yes,No,No,15,13-24,Yes,No,Fiber optic,No,Yes,No,No,No,No,3,Month-to-month,Yes,Electronic check,74.4,Medium,1074.3,1,Service dissatisfaction
Male,No,No,No,1,0-12,Yes,No,DSL,Yes,No,No,No,No,No,3,Month-to-month,Yes,Mailed check,48.55,Low,48.55,1,Lack of self-service on Website
Female,No,Yes,No,2,0-12,Yes,No,Fiber optic,No,No,No,No,No,No,2,Month-to-month,No,Electronic check,70.4,Medium,147.15,1,Network reliability
Male,Yes,Yes,No,1,0-12,No,No phone service,DSL,No,Yes,No,No,Yes,No,3,Month-to-month,No,Electronic check,40.2,Low,40.2,1,Limited range of services
Female,No,Yes,No,2,0-12,Yes,No,DSL,No,No,No,No,No,No,2,Month-to-month,Yes,Credit card (automatic),44.6,Low,80.55,1,Lack of affordable download/upload speed
Male,Yes,No,No,3,0-12,No,No phone service,DSL,No,No,Yes,No,No,Yes,3,Month-to-month,Yes,Electronic check,41.15,Low,132.2,1,Long distance charges
Male,Yes,No,No,13,13-24,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,7,Month-to-month,Yes,Electronic check,106.9,High,1364.3,1,Extra data charges
Male,No,No,No,59,49-60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Two year,No,Mailed check,19.35,Low,1099.6,1,Price too high
Female,Yes,No,No,16,13-24,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,5,Month-to-month,Yes,Electronic check,94.45,High,1511.2,1,Product dissatisfaction
Male,No,No,No,1,0-12,No,No phone service,DSL,No,No,No,No,No,No,1,Month-to-month,No,Bank transfer (automatic),24.8,Low,24.8,1,Service dissatisfaction
Male,No,No,No,1,0-12,Yes,No,Fiber optic,No,No,No,No,No,No,2,Month-to-month,No,Mailed check,70.6,Medium,70.6,1,Lack of self-service on Website
Male,No,Yes,No,5,0-12,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,5,Month-to-month,Yes,Electronic check,85.4,High,401.1,1,Network reliability
Female,No,Yes,No,52,49-60,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,7,Month-to-month,Yes,Electronic check,105.05,High,5624.85,1,Don't know
Male,No,Yes,No,18,13-24,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,5,Month-to-month,No,Mailed check,95.15,High,1779.95,1,Don't know
Male,No,Yes,No,1,0-12,Yes,No,Fiber optic,No,No,No,No,No,No,2,Month-to-month,No,Electronic check,70.0,Medium,70.0,1,Don't know
Male,Yes,No,No,8,0-12,Yes,No,Fiber optic,No,Yes,No,No,No,No,3,Month-to-month,Yes,Electronic check,74.5,Medium,606.55,1,Poor expertise of online support
Male,No,No,No,10,0-12,Yes,No,DSL,No,No,No,No,No,No,2,Month-to-month,Yes,Credit card (automatic),44.85,Low,435.4,1,Poor expertise of phone support
Male,Yes,No,No,24,13-24,Yes,Yes,Fiber optic,No,No,No,No,No,No,3,Month-to-month,Yes,Electronic check,76.1,Medium,1712.7,1,Price too high
